Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Customer_Service,Satisfaction
176672,Amazon Echo Dot (4th Gen),3,153.95,2019-04-18 16:00:57.715430861,"917 1st St, Dallas, TX 75001",The device is good.,1
176547,27-inch 4K Ultra HD Gaming Monitor,2,927.25,2019-04-18 16:00:57.715430861,"917 1st St, Dallas, TX 75001",Absolutely love this VR headset! It’s a game-changer for me.,1
176617,Wired Noise-Cancelling Headphones,1,1451.96,2019-04-18 16:00:57.715430861,"214 Chestnut St, San Francisco, CA 94016","The device works perfectly, no issues so far!",1
176692,HP Pavilion Gaming Laptop,3,104.46,2019-04-18 16:00:57.715430861,"790 Ridge St, Atlanta, GA 30301","The screen resolution on this laptop is amazing, but it tends to heat up quickly.",0
176823,PlayStation 5 Console,3,1619.92,2019-04-18 16:00:57.715430861,"438 Elm St, Seattle, WA 98101",Picture quality is stunning! Gaming feels super immersive on this monitor.,1
176751,NVIDIA RTX 3080 Graphics Card,3,1958.0,2019-04-18 16:00:57.715430861,"917 1st St, Dallas, TX 75001","The device works perfectly, no issues so far!",1
176695,Amazon Echo Dot (4th Gen),2,926.42,2019-04-18 16:00:57.715430861,"917 1st St, Dallas, TX 75001",Returned the product as it didn’t match the description on the website.,0
176859,USB-C Charging Cable,1,245.07,2019-04-18 16:00:57.715430861,"917 1st St, Dallas, TX 75001","Customer service was extremely helpful, they replaced the defective unit immediately.",1
176509,NVIDIA RTX 3080 Graphics Card,2,172.14,2019-04-18 16:00:57.715430861,"149 Dogwood St, New York City, NY 10001",The device is good.,1
176711,AA Rechargeable Batteries (4-pack),2,206.47,2019-04-18 16:00:57.715430861,"682 Chestnut St, Boston, MA 02215",This cable is very durable and charges my phone really quickly!,1
176777,GoPro Hero 9 Action Camera,1,1533.23,2019-04-18 16:00:57.715430861,"657 Hill St, Dallas, TX 75001",Absolutely love this VR headset! It’s a game-changer for me.,1
176742,MacBook Pro 16-inch Laptop,1,833.89,2019-04-18 16:00:57.715430861,"657 Hill St, Dallas, TX 75001","The device works perfectly, no issues so far!",1
176792,PlayStation 5 Console,3,1839.28,2019-04-18 16:00:57.715430861,"669 Spruce St, Los Angeles, CA 90001",The device is good.,1
176587,Google Phone,3,886.87,2019-04-18 16:00:57.715430861,"149 Dogwood St, New York City, NY 10001","The device works perfectly, no issues so far!",1
176570,USB-C Charging Cable,2,163.52,2019-04-18 16:00:57.715430861,"669 Spruce St, Los Angeles, CA 90001",This cable is very durable and charges my phone really quickly!,1
176972,Google Phone,3,859.6,2019-04-18 16:00:57.715430861,"186 12th St, Dallas, TX 75001",Battery life is incredible. This product exceeded my expectations!,1
